bonusPointsEarned,bonusPointsEarnedReason,pointsEarned,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId,receiptId,rec_createDate,rec_ScannedDate,rec_finishedDate,rec_modifyDate,pointsAwardedDate,purchaseDate,receipt_ids
500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500.0,5.0,FINISHED,26.00,5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a720f0523000575,1970-01-01 00:26:49.687531000,1970-01-01 00:26:49.687531000,1970-01-01 00:26:49.687531000,1970-01-01 00:26:49.687536000,1970-01-01 00:26:49.687531000,1970-01-01 00:26:49.632000000,1
150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",150.0,2.0,FINISHED,11.00,5ff1e194b6a9d73a3a9f1052,5ff1e1bb0a720f052300056b,1970-01-01 00:26:49.687483000,1970-01-01 00:26:49.687483000,1970-01-01 00:26:49.687483000,1970-01-01 00:26:49.687488000,1970-01-01 00:26:49.687483000,1970-01-01 00:26:49.601083000,2
5.0,All-receipts receipt bonus,5,1.0,REJECTED,10.00,5ff1e1f1cfcf6c399c274b0b,5ff1e1f10a720f052300057a,1970-01-01 00:26:49.687537000,1970-01-01 00:26:49.687537000,,1970-01-01 00:26:49.687542000,,1970-01-01 00:26:49.632000000,3
5.0,All-receipts receipt bonus,5.0,4.0,FINISHED,28.00,5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a7214ada100056f,1970-01-01 00:26:49.687534000,1970-01-01 00:26:49.687534000,1970-01-01 00:26:49.687534000,1970-01-01 00:26:49.687539000,1970-01-01 00:26:49.687534000,1970-01-01 00:26:49.632000000,4
5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1d20a7214ada1000561,1970-01-01 00:26:49.687506000,1970-01-01 00:26:49.687506000,1970-01-01 00:26:49.687511000,1970-01-01 00:26:49.687511000,1970-01-01 00:26:49.687506000,1970-01-01 00:26:49.601106000,5
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3,5ff1e1e40a7214ada1000566,1970-01-01 00:26:49.687524000,1970-01-01 00:26:49.687524000,1970-01-01 00:26:49.687525000,1970-01-01 00:26:49.687530000,1970-01-01 00:26:49.687525000,1970-01-01 00:26:49.601124000,6
5.0,All-receipts receipt bonus,5.0,1.0,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052,5ff1e1cd0a720f052300056f,1970-01-01 00:26:49.687501000,1970-01-01 00:26:49.687501000,1970-01-01 00:26:49.687502000,1970-01-01 00:26:49.687502000,1970-01-01 00:26:49.687502000,1970-01-01 00:26:49.687501000,7
500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500.0,1.0,FINISHED,10.00,5ff1e194b6a9d73a3a9f1052,5ff1e1a40a720f0523000569,1970-01-01 00:26:49.687460000,1970-01-01 00:26:49.687460000,1970-01-01 00:26:49.687461000,1970-01-01 00:26:49.687461000,1970-01-01 00:26:49.687461000,1970-01-01 00:26:49.027200000,8
5.0,All-receipts receipt bonus,5.0,5.0,FINISHED,20.00,5ff1e1eacfcf6c399c274ae6,5ff1e1ed0a7214ada100056e,1970-01-01 00:26:49.687533000,1970-01-01 00:26:49.687533000,1970-01-01 00:26:49.687534000,1970-01-01 00:26:49.687538000,1970-01-01 00:26:49.687534000,1970-01-01 00:26:49.632000000,9
250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",250.0,3.0,FINISHED,20.00,5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a7214ada100056b,1970-01-01 00:26:49.687531000,1970-01-01 00:26:49.687531000,1970-01-01 00:26:49.687531000,1970-01-01 00:26:49.687536000,1970-01-01 00:26:49.687531000,1970-01-01 00:26:49.632000000,10
100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",100.0,1.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1c50a720f052300056c,1970-01-01 00:26:49.687493000,1970-01-01 00:26:49.687493000,1970-01-01 00:26:49.687493000,1970-01-01 00:26:49.687493000,1970-01-01 00:26:49.687493000,1970-01-01 00:26:49.601093000,11
750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,5.0,FINISHED,50.00,5ff1e194b6a9d73a3a9f1052,5ff1e1a10a720f0523000568,1970-01-01 00:26:49.687457000,1970-01-01 00:26:49.687457000,1970-01-01 00:26:49.688360000,1970-01-01 00:26:49.688360000,1970-01-01 00:26:49.687459000,1970-01-01 00:26:49.545600000,12
